Date;PILIHAN;BREAKFAST;SHIFT 3;SHIFT 1;SHIFT 2
08/11/2023;PILIHAN 1;Nasi goreng bumbu hijau;Ayam Bakar. Padang;Ayam goreng bawang putih;Ayam Rendang
08/11/2023;PILIHAN 2;My Roti Isi Custard + Telur Rebus;Ikan Mas Sbl. Kecap ;Pepes ikan mas pedas;Ikan mas goreng rica-rica cb.ijo kemangi
