Date;PILIHAN;BREAKFAST;SHIFT 3;SHIFT 1;SHIFT 2
19/10/2023;PILIHAN 1;Ketoprak Komplit;Daging serundeng pedas;Tumis daging buncis cabe ijo (beef slice);Tongseng Daging
19/10/2023;PILIHAN 2;Wonder  Donut red velvet;Cumi Crispy sambal dabu-dabu;Cumi Crispy Sc.Asem Manis;Cumi Crispy Sc. Bistik
20/10/2023;PILIHAN 1;Bihun Kuah Bakso;Paket Nasi Tutug Oncom;Paket Nasi Tutug Oncom;Paket Nasi Tutug Oncom
20/10/2023;PILIHAN 2;Masuta Isi Pizza + Telur Rebus;Ayam crispy sambal geprek;Ayam crispy sambal geprek;Ayam crispy sambal geprek
21/10/2023;PILIHAN 1;Nasi Ulam;Ayam Bacem;Ayam goreng kremes;Ayam Gr.Ketumbar
21/10/2023;PILIHAN 2;Wonder Donut Icing + Telur Rebus;Ikan Mas Asem Padeh;Ikan Mas sambal pecak;Ikan Mas BB. Woku
22/10/2023;PILIHAN 1;Nasi Goreng Kip;Sosis gulung telur saus teriyaki;Telur Ceplok bb.Bali;Telur dadar sosis
22/10/2023;PILIHAN 2;Masuta Coklat;Kakap crispy balado;Kakap Crispy saus tar-tar;Kakap Sbl. Matah
